,prices,market_caps,total_volumes,dates
1817,0.35515833068322133,17856407421.40487,666320112.6559712,2022-12-24 00:00:00.000
1818,0.35317997428569975,17779420196.458714,231622343.95766404,2022-12-25 00:00:00.000
1819,0.3469858575442719,17471177171.157623,339542349.5552029,2022-12-26 00:00:00.000
1820,0.3661426478635404,18434824599.699306,945058966.0773864,2022-12-27 00:00:00.000
1821,0.3678858141405444,18546249287.40341,1069684994.9979781,2022-12-28 00:00:00.000
1822,0.35632962347408315,17929049866.6208,979984594.6528118,2022-12-29 00:00:00.000
1823,0.34325907725585547,17294056583.418842,1037430034.6292995,2022-12-30 00:00:00.000
1824,0.3454333605935747,17383390100.95133,798701561.8671073,2022-12-31 00:00:00.000
1825,0.34008628295318194,17121133957.937172,404611674.3235269,2023-01-01 00:00:00.000
1826,0.33906591377275835,17060108166.49119,327129626.0672564,2023-01-02 00:00:00.000
1827,0.34857042266522625,17560796887.615242,1581447168.2871003,2023-01-03 00:00:00.000
1828,0.34381782927835675,17382384969.744404,955848915.0366379,2023-01-04 00:00:00.000
1829,0.34814888508317116,17597994730.9952,957585438.9511281,2023-01-05 00:00:00.000
1830,0.33841798005536067,17116070602.36482,744907998.8296136,2023-01-06 00:00:00.000
1831,0.34511953355311,17457329880.73863,801001834.066361,2023-01-07 00:00:00.000
1832,0.3447533324613407,17420356238.27483,342946545.84614086,2023-01-08 00:00:00.000
1833,0.3452258121803157,17456961142.234257,545985714.4967215,2023-01-09 00:00:00.000
1834,0.34968537233821834,17717747212.100025,1539262894.6328933,2023-01-10 00:00:00.000
1835,0.3516250959148819,17792177163.847145,917319432.2180703,2023-01-11 00:00:00.000
1836,0.37516804184533054,19038727678.203484,1746275470.3431985,2023-01-12 00:00:00.000
1837,0.3757077587246529,19039106716.028618,1426759425.2593694,2023-01-13 00:00:00.000
1838,0.38668543486765117,19580764523.903866,1170148577.9979725,2023-01-14 00:00:00.000
1839,0.39578014157846464,20080653280.131844,1860485927.2466824,2023-01-15 00:00:00.000
1840,0.3846604814430939,19502566239.733498,938035524.0987028,2023-01-16 00:00:00.000
1841,0.38721874514522614,19619545376.60257,1668494268.0545394,2023-01-17 00:00:00.000
1842,0.38834608969729184,19658180910.92554,1138890767.1815016,2023-01-18 00:00:00.000
1843,0.3797679869684619,19245926197.709797,1702838567.3220875,2023-01-19 00:00:00.000
1844,0.3941963457659705,19971310554.25555,1255535645.9865408,2023-01-20 00:00:00.000
1845,0.4135995980254182,20999925928.925415,1186977053.328279,2023-01-21 00:00:00.000
1846,0.4042373402682552,20511505868.34467,1142406486.226599,2023-01-22 00:00:00.000
1847,0.4023071714072539,20425679976.40058,852878506.6611335,2023-01-23 00:00:00.000
1848,0.42666931243794043,21638028918.38685,2285698262.677693,2023-01-24 00:00:00.000
1849,0.40877294153604227,20714879210.16023,1400007168.0821967,2023-01-25 00:00:00.000
1850,0.4186592896798123,21255807576.526184,1245728191.7718234,2023-01-26 00:00:00.000
1851,0.41111588524277953,20916108969.411465,1019272806.0485111,2023-01-27 00:00:00.000
